Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,338.963,-157.8865,270,bottom
C2,22pF,C_0603_1608Metric,346.964,-157.8865,90,bottom
C3,1uF,C_0603_1608Metric,352.425,-147.8535,90,bottom
C4,1.0uF,C_0603_1608Metric,347.853,-139.7,180,bottom
C5,0.1uF,C_0603_1608Metric,333.375,-148.717,270,bottom
C6,0.1uF,C_0603_1608Metric,341.503,-139.573,0,bottom
C7,0.1uF,C_0603_1608Metric,354.457,-147.8535,90,bottom
C8,0.1uF,C_0603_1608Metric,56.007,-80.01,180,bottom
C9,0.1uF,C_0603_1608Metric,57.023,-110.109,180,bottom
C10,0.1uF,C_0603_1608Metric,371.8815,-163.322,180,bottom
C11,0.1uF,C_0603_1608Metric,372.0845,-125.349,180,bottom
C12,0.1uF,C_0603_1608Metric,57.277,-147.193,180,bottom
C13,0.1uF,C_0603_1608Metric,57.15,-181.61,180,bottom
C14,0.1uF,C_0603_1608Metric,372.0845,-92.583,180,bottom
C15,0.1uF,C_0603_1608Metric,367.665,-195.1735,90,bottom
D1,D_Small,D_SOD-123,71.755,-88.265,90,bottom
D2,D_Small,D_SOD-123,95.631,-88.265,90,bottom
D3,D_Small,D_SOD-123,114.681,-88.265,90,bottom
D4,D_Small,D_SOD-123,133.731,-88.266,90,bottom
D5,D_Small,D_SOD-123,152.781,-88.265,90,bottom
D6,D_Small,D_SOD-123,176.53,-88.265,90,bottom
D7,D_Small,D_SOD-123,195.58,-88.265,90,bottom
D8,D_Small,D_SOD-123,214.63,-88.265,90,bottom
D9,D_Small,D_SOD-123,233.68,-88.265,90,bottom
D10,D_Small,D_SOD-123,257.556,-88.265,90,bottom
D11,D_Small,D_SOD-123,276.606,-88.265,90,bottom
D12,D_Small,D_SOD-123,295.656,-88.265,90,bottom
D13,D_Small,D_SOD-123,314.706,-88.265,90,bottom
D14,D_Small,D_SOD-123,338.455,-88.265,90,bottom
D15,D_Small,D_SOD-123,71.755,-112.141,90,bottom
D16,D_Small,D_SOD-123,90.805,-112.141,90,bottom
D17,D_Small,D_SOD-123,109.855,-112.141,90,bottom
D18,D_Small,D_SOD-123,128.905,-112.141,90,bottom
D19,D_Small,D_SOD-123,147.955,-112.141,90,bottom
D20,D_Small,D_SOD-123,167.005,-112.141,90,bottom
D21,D_Small,D_SOD-123,186.055,-112.141,90,bottom
D22,D_Small,D_SOD-123,205.105,-112.141,90,bottom
D23,D_Small,D_SOD-123,224.155,-112.141,90,bottom
D24,D_Small,D_SOD-123,243.205,-112.141,90,bottom
D25,D_Small,D_SOD-123,262.255,-112.141,90,bottom
D26,D_Small,D_SOD-123,281.305,-112.141,90,bottom
D27,D_Small,D_SOD-123,300.355,-112.141,90,bottom
D28,D_Small,D_SOD-123,328.93,-112.141,90,bottom
D29,D_Small,D_SOD-123,367.03,-112.141,90,bottom
