Ref,Val,Package,PosX,PosY,Rot,Side
"K_'1","MX-NoLED","MXOnly-1U-Hotswap",290.576000,-146.177000,0.000000,top
"K_,1","MX-NoLED","MXOnly-1U-Hotswap",242.951000,-165.227000,0.000000,top
"K_-1","MX-NoLED","MXOnly-1U-Hotswap",276.225000,-108.077000,0.000000,top
"K_.1","MX-NoLED","MXOnly-1U-Hotswap",262.001000,-165.227000,0.000000,top
"K_0","MX-NoLED","MXOnly-1U-Hotswap",257.175000,-108.077000,0.000000,top
"K_1","MX-NoLED","MXOnly-1U-Hotswap",85.725000,-108.077000,0.000000,top
"K_2","MX-NoLED","MXOnly-1U-Hotswap",104.775000,-108.077000,0.000000,top
"K_3","MX-NoLED","MXOnly-1U-Hotswap",123.825000,-108.077000,0.000000,top
"K_4","MX-NoLED","MXOnly-1U-Hotswap",142.875000,-108.077000,0.000000,top
"K_5","MX-NoLED","MXOnly-1U-Hotswap",161.925000,-108.077000,0.000000,top
"K_6","MX-NoLED","MXOnly-1U-Hotswap",180.975000,-108.077000,0.000000,top
"K_7","MX-NoLED","MXOnly-1U-Hotswap",200.025000,-108.077000,0.000000,top
"K_8","MX-NoLED","MXOnly-1U-Hotswap",219.075000,-108.077000,0.000000,top
"K_9","MX-NoLED","MXOnly-1U-Hotswap",238.125000,-108.077000,0.000000,top
"K_10","MX-NoLED","MXOnly-1U-Hotswap",281.051000,-165.227000,0.000000,top
"K_;1","MX-NoLED","MXOnly-1U-Hotswap",271.526000,-146.177000,0.000000,top
"K_=1","MX-NoLED","MXOnly-1U-Hotswap",295.275000,-108.077000,0.000000,top
"K_A1","MX-NoLED","MXOnly-1U-Hotswap",100.076000,-146.177000,0.000000,top
"K_B1","MX-NoLED","MXOnly-1U-Hotswap",185.801000,-165.227000,0.000000,top
"K_C1","MX-NoLED","MXOnly-1U-Hotswap",147.701000,-165.227000,0.000000,top
"K_D1","MX-NoLED","MXOnly-1U-Hotswap",138.176000,-146.177000,0.000000,top
"K_E1","MX-NoLED","MXOnly-1U-Hotswap",133.350000,-127.127000,0.000000,top
"K_Esc1","MX-NoLED","MXOnly-1U-Hotswap",66.675000,-84.201000,0.000000,top
"K_F1","MX-NoLED","MXOnly-1U-Hotswap",90.551000,-84.201000,0.000000,top
"K_F2","MX-NoLED","MXOnly-1U-Hotswap",109.601000,-84.201000,0.000000,top
"K_F3","MX-NoLED","MXOnly-1U-Hotswap",128.651000,-84.201000,0.000000,top
"K_F4","MX-NoLED","MXOnly-1U-Hotswap",147.701000,-84.201000,0.000000,top
